agreement_id,customer_id,sku,tier_min_qty,tier_max_qty,contracted_price,effective_date,expiry_date,discount_pct,currency,status
AGR-0020,CUST-1000,CHIP-dsPIC-0003,1,9,9.41,2024-11-24,2026-06-02,0.05,USD,Expired
AGR-0003,CUST-1054,CHIP-MCP-0010,100,249,27.74,2024-04-19,2025-03-19,0.0819,USD,Active
AGR-0045,CUST-1071,CHIP-MCP-0002,1,24,10.93,2023-09-28,2024-10-22,5.0,USD,Active
AGR-0044,CUST-1027,CHIP-PIC18-0012,10,2499,25.88,2024-11-20,2026-08-19,0.1068,USD,Active
AGR-0020,CUST-1000,CHIP-dsPIC-0003,25,999,8.12,2024-11-24,2026-06-02,0.1804,USD,Expired
AGR-0005,CUST-1009,CHIP-dsPIC-0015,5000,9999,12.7,2024-06-07,2025-12-20,0.1824,JPY,Active
AGR-0022,CUST-1041,CHIP-MPF-0016,1000,2499,17.14,2023-10-03,2024-10-22,11.06,USD,Active
AGR-0035,CUST-1062,CHIP-PIC32-0006,100,999,11.88,2024-12-11,2026-06-06,0.1871,USD,Pending
AGR-0007,CUST-1009,CHIP-PIC32-0002,50,249,5.43,2024-08-07,2026-07-08,0.05,USD,Active
AGR-0017,CUST-1005,CHIP-PIC18-0006,50,99,12.78,2024-05-13,2025-05-19,0.118,USD,Active
AGR-0023,CUST-1020,CHIP-MPF-0009,100,249,7.38,2024-11-20,2026-07-13,0.119,USD,Expired
AGR-0039,CUST-1077,CHIP-MPF-0012,1,24,12.32,2024-11-29,2025-07-05,0.05,JPY,Active
AGR-0010,CUST-1051,CHIP-WBZ-0014,250,9999,14.38,2024-09-15,2025-12-27,0.2599,USD,Active
AGR-0013,CUST-1072,CHIP-WBZ-0002,1000,2499,17.88,2023-08-04,2024-05-23,0.1768,EUR,Active
AGR-0029,CUST-1008,CHIP-PIC18-0001,1,99,5.51,2024-03-15,2026-01-30,0.05,USD,Expired
AGR-0033,CUST-1034,CHIP-MPF-0012,50,499,10.47,2023-07-23,2025-05-24,0.1519,USD,Expired
AGR-0010,CUST-1051,CHIP-WBZ-0014,100,249,16.46,2024-09-15,2025-12-27,0.1526,USD,Active
AGR-0030,CUST-1006,CHIP-PIC18-0010,10,49,20.17,2024-06-09,2025-01-21,0.05,USD,Active
AGR-0036,CUST-1053,CHIP-WBZ-0016,100,249,23.11,2024-05-23,2025-08-26,0.1847,USD,Active
AGR-0010,CUST-1051,CHIP-WBZ-0014,25,49,16.97,2024-09-15,2025-12-27,0.1267,USD,Active
AGR-0013,CUST-1072,CHIP-WBZ-0002,50,999,19.36,2023-08-04,2024-05-23,0.1085,EUR,Active
AGR-0009,CUST-1002,CHIP-WBZ-0016,100,999,25.35,2024-08-22,2025-04-03,0.05,USD,Expired
AGR-0006,CUST-1055,CHIP-PIC32-0009,25,499,25.53,2024-05-07,2025-01-25,0.1196,USD,Active
AGR-0011,CUST-1076,CHIP-PIC18-0010,500,9999,18.47,2023-09-02,2024-10-13,0.2274,EUR,Pending
AGR-0041,CUST-1036,CHIP-MPF-0014,500,2499,4.23,2023-12-08,2024-06-19,0.141,USD,Expired
AGR-0027,CUST-9901,CHIP-PIC32-0004,500,4999,38.64,2023-12-26,2025-06-06,0.2818,USD,Active
AGR-0022,CUST-1041,CHIP-MPF-0016,250,999,18.31,2023-10-03,2024-10-22,0.05,USD,Active
AGR-0021,CUST-1055,CHIP-WBZ-0001,10,249,33.6,2024-10-15,2025-11-03,0.05,USD,Pending
AGR-0048,CUST-1028,CHIP-PIC32-0002,500,4999,4.74,2024-09-14,2026-03-02,0.1772,USD,Active
AGR-0001,CUST-9901,CHIP-MCP-0009,250,9999,16.38,2024-08-20,2026-04-02,0.1876,USD,Active
AGR-0048,CUST-1028,CHIP-PIC32-0002,1,9,5.47,2024-09-14,2026-03-02,5.0,USD,Active
AGR-0045,CUST-1071,CHIP-MCP-0002,25,49,10.32,2023-09-28,2024-10-22,0.1031,USD,Active
AGR-0010,CUST-1051,CHIP-WBZ-0014,1,24,18.46,2024-09-15,2025-12-27,0.05,USD,Active
AGR-0021,CUST-1055,CHIP-WBZ-0001,1000,2499,28.96,2024-10-15,2025-11-03,0.1812,USD,Pending
AGR-0002,CUST-1006,CHIP-dsPIC-0005,1000,9999,9.43,2024-01-28,2024-11-08,0.1982,USD,Active
AGR-0038,CUST-1027,CHIP-MPF-0004,100,999,4.57,2024-12-15,2025-11-21,12.54,USD,Pending
AGR-0047,CUST-1022,CHIP-MCP-0004,100,249,16.31,2024-06-19,2025-03-08,0.241,USD,Expired
AGR-0014,CUST-1014,CHIP-PIC32-0005,249,10,36.52,2024-07-04,2026-04-26,0.1114,USD,Active
AGR-0009,CUST-1002,CHIP-WBZ-0016,1000,4999,23.26,2024-08-22,2025-04-03,0.1283,USD,Expired
AGR-0012,CUST-1039,CHIP-MPF-0010,500,2499,15.08,2024-09-23,2026-06-24,0.152,USD,Pending
AGR-0031,CUST-1023,CHIP-PIC18-0001,2500,4999,4.38,2023-12-21,2025-11-21,0.1419,USD,Active
AGR-0028,CUST-1046,CHIP-MPF-0011,9999,5000,21.43,2024-05-01,2025-09-13,0.1315,USD,Active
AGR-0017,CUST-1005,CHIP-PIC18-0006,500,2499,10.79,2024-05-13,2025-05-19,0.2552,USD,Active
AGR-0027,CUST-9901,CHIP-PIC32-0004,250,499,47.12,2023-12-26,2025-06-06,12.41,USD,Active
AGR-0030,CUST-1006,CHIP-PIC18-0010,100,499,18.64,2024-06-09,2025-01-21,0.1219,USD,Active
AGR-0004,CUST-1063,CHIP-PIC18-0006,50,249,11.58,2024-09-16,2025-04-26,0.1605,USD,Expired
AGR-0036,CUST-1053,CHIP-WBZ-0016,25,99,24.76,2024-05-23,2025-08-26,0.1262,USD,Active
AGR-0018,CUST-1053,CHIP-MCP-0007,100,249,7.88,2024-08-31,2025-04-11,0.2053,USD,Pending
AGR-0033,CUST-1034,CHIP-MPF-0012,1,24,11.73,2023-07-23,2025-05-24,0.05,USD,Expired
AGR-0046,CUST-1073,CHIP-WBZ-0002,25,99,17.33,2023-08-05,2024-04-02,0.1165,CNY,Active
AGR-0014,CUST-1014,CHIP-PIC32-0005,1,9,39.05,2024-07-04,2026-04-26,0.05,USD,Active
AGR-0011,CUST-1076,CHIP-PIC18-0010,1,9,22.7,2023-09-02,2024-10-13,0.05,EUR,Pending
AGR-0012,CUST-1039,CHIP-MPF-0010,50,499,16.09,2024-09-23,2026-06-24,9.51,USD,Pending
AGR-0013,CUST-1072,CHIP-WBZ-0002,5000,9999,15.66,2023-08-04,2024-05-23,0.2788,EUR,Active
AGR-0024,CUST-1015,CHIP-WBZ-0012,100,2499,4.92,2024-04-07,2025-03-21,0.0937,USD,Pending
AGR-0043,CUST-1079,CHIP-WBZ-0016,500,999,27.04,2024-01-11,2024-11-22,0.1213,USD,Active
AGR-0017,CUST-1005,CHIP-PIC18-0006,100,499,11.79,2024-05-13,2025-05-19,0.186,USD,Active
AGR-0040,CUST-1037,CHIP-WBZ-0001,25,999,28.51,2025-08-23,2024-05-09,0.05,USD,Expired
AGR-0049,CUST-1048,CHIP-MCP-0003,1,24,5.47,2023-07-16,2025-02-26,0.05,USD,Active
AGR-0046,CUST-1073,CHIP-WBZ-0002,500,2499,15.54,2023-08-05,2024-04-02,0.2073,CNY,Active
AGR-0024,CUST-1015,CHIP-WBZ-0012,10,99,5.16,2024-04-07,2025-03-21,0.05,USD,Pending
AGR-0050,CUST-1038,CHIP-PIC18-0002,1,24,2.18,2024-04-05,2025-02-25,0.05,GBP,Active
AGR-0030,CUST-1006,CHIP-PIC18-0010,50,99,18.48,2024-06-09,2025-01-21,0.1295,USD,Active
AGR-0046,CUST-1073,CHIP-WBZ-0002,1,24,18.63,2023-08-05,2024-04-02,0.05,CNY,Active
AGR-0046,CUST-1073,CHIP-WBZ-0002,100,499,16.72,2023-08-05,2024-04-02,0.1474,CNY,Active
AGR-0042,CUST-1073,CHIP-MPF-0015,1,49,11.25,2024-02-29,2025-07-30,0.05,USD,Expired
AGR-0010,CUST-1051,CHIP-WBZ-0014,50,99,16.29,2024-09-15,2025-12-27,16.16,USD,Active
AGR-0047,CUST-1022,CHIP-MCP-0004,50,99,19.08,2024-06-19,2025-03-08,0.1123,USD,Expired
AGR-0016,CUST-1011,CHIP-PIC32-0006,250,499,8.36,2024-11-09,2026-06-19,0.1468,GBP,Active
AGR-0002,CUST-1006,CHIP-dsPIC-0005,10,24,11.17,2024-01-28,2024-11-08,0.05,USD,Active
AGR-0023,CUST-1020,CHIP-MPF-0009,10,99,7.96,2024-11-20,2026-07-13,0.05,USD,Expired
AGR-0025,CUST-1076,CHIP-dsPIC-0008,1,9,0.86,2023-11-05,2024-10-25,0.05,USD,Expired
AGR-0016,CUST-1011,CHIP-PIC32-0006,100,249,8.85,2024-11-09,2026-06-19,9.66,GBP,Active
AGR-0036,CUST-1053,CHIP-WBZ-0016,1,24,26.92,2024-05-23,2025-08-26,5.0,USD,Active
AGR-0016,CUST-1011,CHIP-PIC32-0006,500,9999,7.34,2024-11-09,2026-06-19,0.2515,GBP,Active
AGR-0044,CUST-1027,CHIP-PIC18-0012,1,9,27.53,2024-11-20,2026-08-19,0.05,USD,Active
AGR-0006,CUST-1055,CHIP-PIC32-0009,10,24,27.55,2024-05-07,2025-01-25,0.05,USD,Active
AGR-0004,CUST-1063,CHIP-PIC18-0006,1,24,13.1,2024-09-16,2025-04-26,0.05,USD,Expired
AGR-0028,CUST-1046,CHIP-MPF-0011,1000,4999,22.08,2024-05-01,2025-09-13,0.1053,USD,Active
AGR-0020,CUST-1000,CHIP-dsPIC-0003,10,24,9.06,2024-11-24,2026-06-02,0.0859,USD,Expired
AGR-0004,CUST-1063,CHIP-PIC18-0006,250,999,11.35,2024-09-16,2025-04-26,0.1772,USD,Expired
AGR-0015,CUST-1037,CHIP-dsPIC-0011,25,499,30.46,2023-10-15,2024-05-27,0.05,USD,Active
AGR-0050,CUST-1038,CHIP-PIC18-0002,100,2499,1.83,2024-04-05,2025-02-25,0.2042,GBP,Active
AGR-0008,CUST-1029,CHIP-PIC32-0003,25,499,8.68,2024-11-01,2026-10-21,0.05,USD,Active
AGR-0027,CUST-9901,CHIP-PIC32-0004,5000,9999,40.16,2023-12-26,2025-06-06,0.2536,USD,Active
AGR-0034,CUST-1044,CHIP-WBZ-0012,1,24,5.84,2024-07-25,2026-06-18,0.05,USD,Pending
AGR-0006,CUST-1055,CHIP-PIC32-0009,500,9999,23.87,2024-05-07,2025-01-25,0.177,USD,Active
AGR-0024,CUST-1015,CHIP-WBZ-0012,2500,4999,4.5,2024-04-07,2025-03-21,17.14,USD,Pending
AGR-0016,CUST-1011,CHIP-PIC32-0006,50,99,9.31,2024-11-09,2026-06-19,0.05,GBP,Active
AGR-0019,CUST-1047,CHIP-dsPIC-0010,1,24,4.63,2023-10-08,2024-06-12,0.05,USD,Expired
AGR-0018,CUST-1053,CHIP-MCP-0007,10,99,8.72,2024-08-31,2025-04-11,0.1201,USD,Pending
AGR-0029,CUST-1008,CHIP-PIC18-0001,100,2499,5.08,2024-03-15,2026-01-30,0.1241,USD,Expired
AGR-0011,CUST-1076,CHIP-PIC18-0010,10,49,21.95,2023-09-02,2024-10-13,0.0814,EUR,Pending
AGR-0040,CUST-1037,CHIP-WBZ-0001,1000,2499,27.11,2024-05-09,2025-08-23,0.0965,USD,Expired
AGR-0042,CUST-1073,CHIP-MPF-0015,250,999,9.49,2024-02-29,2025-07-30,0.1988,USD,Expired
AGR-0031,CUST-1023,CHIP-PIC18-0001,1000,2499,4.67,2025-11-21,2023-12-21,0.087,USD,Active
AGR-0031,CUST-1023,CHIP-PIC18-0001,999,250,4.85,2023-12-21,2025-11-21,0.05,USD,Active
AGR-0042,CUST-1073,CHIP-MPF-0015,1000,4999,8.96,2024-02-29,2025-07-30,0.2435,USD,Expired
AGR-0004,CUST-1063,CHIP-PIC18-0006,1000,4999,10.23,2024-09-16,2025-04-26,0.2579,USD,Expired
AGR-0035,CUST-1062,CHIP-PIC32-0006,10,49,13.89,2024-12-11,2026-06-06,0.05,USD,Pending
AGR-0011,CUST-1076,CHIP-PIC18-0010,250,499,17.72,2023-09-02,2024-10-13,0.2587,EUR,Pending
AGR-0022,CUST-1041,CHIP-MPF-0016,9999,2500,16.55,2023-10-03,2024-10-22,0.1409,USD,Active
AGR-0017,CUST-1005,CHIP-PIC18-0006,10,49,12.94,2024-05-13,2025-05-19,0.1073,USD,Active
AGR-0018,CUST-1053,CHIP-MCP-0007,1,9,9.41,2024-08-31,2025-04-11,0.05,USD,Pending
AGR-0035,CUST-1062,CHIP-PIC32-0006,1000,4999,11.06,2024-12-11,2026-06-06,0.2435,USD,Pending
AGR-0041,CUST-1036,CHIP-MPF-0014,50,99,4.5,2023-12-08,2024-06-19,0.0848,USD,Expired
