sku,product_family,series_name,package_type,pin_count,flash_kb,unit_cost_usd,list_price_usd,lifecycle_status,launch_date,lead_time_weeks
CHIP-dsPIC-0006,MCU16,dsPIC-Y419,TQFP,40,128,9.64,25.21,New,2021-01-17,10
CHIP-MPF-0002,FPGA,MPF-Q365,BGA,484,4096,15.0,37.24,New,2023-05-05,20
CHIP-MCP-0005,Analog,MCP-Z859,SOIC,8,,1.09,2.43,Active,2024-01-17,26
CHIP-MCP-0010,Analog,MCP-A147,MSOP,3,,14.79,43.48,NRND,2017-07-09,10
CHIP-PIC18-0003,MCU8,PIC18-Y532,QFN,14,128,10.73,32.95,Active,2024-01-14,8
CHIP-PIC32-0003,MCU32,PIC32-X760,BGA,100,512,3.92,11.22,Active,2019-06-10,8
CHIP-PIC18-0012,MCU8,PIC18-N710,DIP,8,32,11.41,34.6,Active,2015-09-18,16
CHIP-PIC18-0004,MCU8,PIC18-M967,QFP,20,32,4.11,12.2,Active,2019-04-06,6
CHIP-PIC32-0006,MCU32,PIC32-D209,TQFP,44,2048,5.6,15.36,New,2016-07-04,12
CHIP-MCP-0003,Analog,MCP-J139,DFN,14,,6.16,8.08,New,2017-12-05,8
CHIP-MPF-0005,FPGA,MPF-Y120,BGA,484,4096,1.4,4.37,Active,2023-08-20,52
CHIP-PIC18-0006,MCU8,PIC18-H987,QFP,40,32,12.77,17.28,Active,2018-03-31,6
CHIP-PIC18-0011,MCU8,PIC18-R193,QFP,44,128,16.19,34.79,Active,2016-07-20,26
CHIP-WBZ-0015,Wireless,WBZ-R398,QFN,48,256,3.38,4.8,Active,2020-01-20,52
CHIP-MPF-0013,FPGA,MPF-N832,QFP,144,1024,2.21,2.89,Active,2022-08-06,16
CHIP-WBZ-0003,Wireless,WBZ-S295,VQFN,56,512,5.25,13.6,New,2021-03-26,0
CHIP-MPF-0014,FPGA,MPF-U901,QFP,100,512,2.1,6.27,New,2021-09-25,6
CHIP-PIC32-0008,MCU32,PIC32-W368,TQFP,44,128,11.53,7.59,Active,2018-09-28,8
CHIP-MPF-0001,FPGA,MPF-T709,BGA,100,512,16.54,25.19,Active,2020-03-18,26
CHIP-PIC32-0012,MCU32,PIC32-J263,QFN,64,1024,0.74,2.15,Active,2019-08-14,10
CHIP-MPF-0009,FPGA,MPF-J870,BGA,144,256,4.9,9.73,Active,2018-10-14,16
CHIP-dsPIC-0004,MCU16,dsPIC-B346,TQFP,28,64,16.75,54.05,Obsolete,2018-06-13,10
CHIP-MPF-0006,FPGA,MPF-T865,FBGA,484,4096,0.4,0.82,Obsolete,2024-05-16,16
CHIP-PIC32-0010,MCU32,PIC32-M315,TQFP,64,1024,2.56,4.98,New,2023-12-05,4
CHIP-WBZ-0006,Wireless,WBZ-K357,BGA,56,512,17.94,44.64,Active,2020-02-02,12
